"","stationPlotted","cityName","lon","lat","daysThreshold","nSmoky","smokeOzoneMeans","clearOzoneMeans","differenceOfMeans","signif","confInt_lower","confInt_upper","pValue","tValue"
"1","010730023-01","Birmingham",-86.815,33.553056,10,25,62.4708184241019,53.2102940479809,9.26052437612094,TRUE,3.88919127201665,14.6318574802252,0.00147905138736266,3.53670676733242
"2","010731005-01","Not in a city",-87.003611,33.331111,10,42,63.5309086283845,52.6145364736191,10.9163721547654,TRUE,7.55943650172042,14.2733078078104,1.70843265214306e-08,6.50403480624636
"3","010731009-01","Not in a city",-87.305556,33.459722,10,28,61.9551692808253,53.7561724089875,8.19899687183778,TRUE,3.66273500774866,12.7352587359269,0.00078243302058834,3.66363579531208
"4","010731010-01","Leeds",-86.549167,33.545278,10,37,57.9789056663017,53.4507673042709,4.52813836203083,TRUE,0.377694020507799,8.67858270355386,0.0331814087333626,2.19736159317298
"5","010732006-01","Hoover",-86.816667,33.386389,10,35,64.1288781814226,56.5073623275864,7.62151585383618,TRUE,3.14380506819566,12.0992266394767,0.00129280070541047,3.42501462920799
"6","010735002-01","Pinson",-86.669167,33.704722,10,27,58.9233210528003,53.931896659296,4.99142439350427,TRUE,0.00979368364108298,9.97305510336745,0.0495798303932057,2.04837840933315
"7","010735003-01","Not in a city",-86.9425,33.801667,10,33,61.6296661465759,53.0635142458643,8.56615190071157,TRUE,4.83091282137394,12.3013909800492,3.61465732301096e-05,4.6307765936027
"8","020900034-01","Fairbanks",-147.727413,64.84569,10,11,32.4628836636634,30.5275092104295,1.93537445323393,FALSE,-4.00428530158136,7.87503420804922,0.494526736265121,0.70246202208115
"9","051130003-01","Mena",-94.143316,34.454406,10,19,57.6983540325166,52.610225717948,5.08812831456866,FALSE,-1.59041672949903,11.7666733586363,0.127323638165249,1.59430302846465
"10","051190007-01","North Little Rock",-92.281296,34.756189,10,40,58.874489573409,51.6353607961507,7.23912877725829,TRUE,3.54441677707813,10.9338407774384,0.000242333950974225,3.92659113975706
"11","060010007-01","Livermore",-121.784217,37.687526,10,31,57.9623993328231,51.2650834745331,6.69731585828997,FALSE,-0.0617838801030533,13.456415596683,0.0520070178908953,2.01785715308489
"12","060012004-01","Berkeley",-122.30129,37.877794,10,20,26.0477191075272,23.6660264898776,2.38169261764961,FALSE,-1.24702633630333,6.01041157160255,0.187405496313623,1.35997252787356
"13","060070008-01","Chico",-121.84162,39.761538,10,20,56.2856598786176,53.1823990457017,3.1032608329159,FALSE,-0.78363758453277,6.99015925036457,0.112053876549022,1.65424061745329
"14","060111002-01","Colusa",-122.017728,39.202935,10,46,57.5391020302729,51.3620856553294,6.17701637494348,TRUE,3.16480374202647,9.1892290078605,0.000139202844094847,4.11552890051922
"15","060195001-01","Clovis",-119.717356,36.819111,10,17,94.2061483257282,76.0829498439824,18.1231984817457,TRUE,9.60477990895762,26.6416170545338,0.000336540175444545,4.49744640007271
"16","060210003-01","Not in a city",-122.191903,39.533761,10,43,55.3026830631845,52.4296633300945,2.87301973308991,TRUE,0.0892552878895529,5.65678417829027,0.0433510623530497,2.07323578628144
"17","060290014-01","Bakersfield",-119.041209,35.356092,10,31,77.1081719576963,71.8930312902075,5.21514066748882,FALSE,-1.45818540728877,11.8884667422664,0.121170872641859,1.59302341135368
"18","060310004-01","Corcoran",-119.566954,36.10218,10,11,95.2366060350805,71.6981306694571,23.5384753656235,TRUE,15.8189376467067,31.2580130845402,2.9267782982375e-05,6.68446873040727
"19","060370016-01","Glendora",-117.85036,34.14435,10,19,70.8722126394039,73.0012449961633,-2.1290323567594,FALSE,-12.1025926792686,7.84452796574979,0.660001898745186,-0.446928566721188
"20","060376012-01","Santa Clarita",-118.5284,34.38344,10,15,76.9661862740907,74.8614272203696,2.10475905372111,FALSE,-8.38938972799274,12.598907835435,0.674271422496161,0.428986100357502
"21","060430003-01","Not in a city",-119.7062,37.71325,10,21,70.2386265958894,65.8006163659662,4.43801022992317,FALSE,-0.606838753909461,9.48285921375579,0.0815523170549353,1.82998146022126
"22","060550003-01","Napa",-122.296189,38.310942,10,34,39.3012711508757,39.4445241502167,-0.14325299934103,FALSE,-3.22404546775663,2.93753946907457,0.925559268552665,-0.0940361723206009
"23","060590007-01","Anaheim",-117.93845,33.83062,10,13,52.0164664410256,49.3748574178828,2.64160902314281,FALSE,-4.06806892999731,9.35128697628292,0.408839485450208,0.854923921113088
"24","060610006-01","Roseville",-121.266312,38.745726,10,39,72.8366991642046,66.8060050531493,6.03069411105531,FALSE,-0.095536730569882,12.1569249526805,0.0535111529960827,1.98816794927051
"25","060650012-01","Banning",-116.85841,33.92086,10,11,83.4681084552778,75.5461663944831,7.92194206079466,FALSE,-3.63961064904381,19.4834947706331,0.158392857393539,1.52097654268156
"26","060659001-01","Lake Elsinore",-117.33098,33.67649,10,15,73.2734901114343,69.6739675798844,3.59952253154985,FALSE,-3.29257604376341,10.4916211068631,0.282737535935131,1.11491699111769
"27","060670006-01","Arden-Arcade",-121.368014,38.613779,10,17,67.7332778843698,62.1132119749446,5.62006590942528,FALSE,-1.58720996990149,12.827341788752,0.118205967889095,1.64658816104514
"28","060670010-01","Sacramento",-121.492981,38.558228,10,42,64.0788527625074,57.2809453506478,6.79790741185955,TRUE,2.15678775536823,11.4390270683509,0.00501367772338658,2.94893971677669
"29","060690003-01","Not in a city",-121.15688,36.48324,10,12,63.7158496906365,57.3443876540469,6.37146203658956,FALSE,-1.64276733576764,14.3856914089468,0.108273963204199,1.74337942635453
"30","060710005-01","Crestline",-117.27235,34.2431,10,10,91.6256463937199,84.6691509872007,6.95649540651917,FALSE,-0.762823165327655,14.675813978366,0.0721880708208243,2.02222001613182
"31","060719002-01","Not in a city",-116.38893,34.06957,10,10,77.8582690240544,73.4696463844029,4.38862263965154,FALSE,-3.69865572543614,12.4759010047392,0.251864636430502,1.22190671134029
"32","060750005-01","San Francisco",-122.399044,37.765946,10,24,30.5600279853292,26.0599825417083,4.50004544362096,TRUE,0.910952804547646,8.08913808269426,0.0161019419557293,2.5849247344076
"33","060773005-01","Tracy",-121.443324,37.682512,10,44,68.8067139926651,61.1545632815223,7.65215071114287,TRUE,3.08766712067871,12.216634301607,0.00148207774177241,3.36978939639099
"34","060811001-01","Redwood City",-122.20337,37.482934,10,26,34.0971408630874,30.6011022636326,3.49603859945487,TRUE,0.388787194857677,6.60329000405206,0.0287529143335527,2.30022231448303
"35","060850005-01","San Jose",-121.894898,37.348497,10,36,44.0299594486053,40.3736479531651,3.65631149544012,TRUE,0.0551730208956848,7.25744996998456,0.0467444044042595,2.04944306957192
"36","060893003-01","Not in a city",-121.57646,40.53999,10,16,63.278013598404,54.8642492467918,8.41376435161219,FALSE,-0.411951701869154,17.2394804050935,0.0602786039799231,2.02961140268566
"37","060950004-01","Vallejo",-122.237976,38.102507,10,26,38.366176521085,36.7005344504066,1.66564207067839,FALSE,-3.32473866855371,6.65602280991048,0.499382000414724,0.6846132392473
"38","060950006-01","Benicia",-122.1507,38.0656,10,16,50.5887721600035,43.5437891661946,7.04498299380889,TRUE,0.581218668949319,13.5087473186685,0.0341983155877827,2.27666475197222
"39","060990006-01","Not in a city",-120.837005,37.487981,10,16,92.6816284528176,69.0028225752396,23.6788058775781,TRUE,12.8039013452207,34.5537104099355,0.000305571036540964,4.63042109123734
"40","061010003-01","Yuba City",-121.618549,39.138773,10,38,55.2873769956364,54.2555905807084,1.03178641492804,FALSE,-3.60869109015577,5.67226392001184,0.655580002932482,0.449387169889659
"41","061072002-01","Visalia",-119.291228,36.332179,10,43,80.868974177344,71.5844320918168,9.28454208552712,TRUE,3.4299862860363,15.1390978850179,0.00258052157541704,3.19632426421405
"42","061072010-01","Porterville",-119.055018,36.031831,10,10,65.0902278556232,69.8497940161775,-4.75956616055434,TRUE,-8.74340757741072,-0.775724743697969,0.0235450268409905,-2.63930576028041
"43","061130004-01","Not in a city",-121.7734,38.53445,10,46,56.9236215316591,53.2929653971395,3.63065613451957,FALSE,-1.94522006338785,9.20653233242699,0.196715363356918,1.30909856399239
"44","080671004-01","Not in a city",-107.484167,37.30389,10,18,61.4605274671799,56.9099366671623,4.55059080001759,TRUE,1.88574808213128,7.21543351790389,0.0019110190699582,3.5549267838921
"45","080690007-01","Not in a city",-105.54564,40.27813,10,21,61.8106980622929,60.4270930422169,1.383605020076,FALSE,-2.91230190022569,5.67951194037768,0.510666896170802,0.668947529185389
"46","080830101-01","Not in a city",-108.49046,37.1984,10,14,60.0723667583036,56.706571493982,3.36579526432158,FALSE,-0.415083089631476,7.14667361827464,0.077071678328617,1.90279458707989
"47","090011123-01","Danbury",-73.443056,41.399167,10,24,66.2046790937399,59.9150608214325,6.28961827230735,TRUE,0.727121991744959,11.8521145528697,0.0280267991709499,2.31147147351713
"48","090031003-01","East Hartford",-72.631667,41.784722,10,21,64.591821481953,54.7803253957056,9.81149608624737,TRUE,4.24192388176563,15.3810682907291,0.00130407328325015,3.63351873825385
"49","090050005-01","Cornwall",-73.297257,41.821342,10,13,65.840999499483,58.3101575370521,7.53084196243096,TRUE,0.0687473041191018,14.9929366207428,0.0481837598456734,2.15769177389425
"50","090090027-01","New Haven",-72.902871,41.3014,10,22,66.9087335291647,53.5023841126135,13.4063494165512,TRUE,6.38585892022407,20.4268399128783,0.000619846077412549,3.94436777235892
"51","090110124-01","Groton",-72.07882,41.35362,10,12,74.3259829833016,54.4665976394949,19.8593853438066,TRUE,9.20425067489728,30.514520012716,0.00161724786075955,4.07013392946363
"52","110010043-01","Washington",-77.013178,38.921847,10,30,70.0157553807033,62.7624995117815,7.25325586892185,TRUE,3.23758592709605,11.2689258107477,0.00077899381722953,3.6587737955942
"53","120013011-01","Micanopy",-82.296111,29.544722,10,43,50.379495412327,35.8124191507078,14.5670762616193,TRUE,11.2634269354552,17.8707255877833,5.68755451813534e-12,8.8467944111817
"54","120050006-01","Lower Grand Lagoon",-85.731517,30.130433,10,28,56.3752358493539,42.9540846674993,13.4211511818547,TRUE,9.1391467976169,17.7031555660924,3.48818474561746e-07,6.38258397149458
"55","120090007-01","Melbourne",-80.628611,28.053611,10,16,51.5985227986715,34.5396322022176,17.058890596454,TRUE,8.71387080814645,25.4039103847615,0.00053795608764671,4.34520626279316
"56","120210004-01","Naples",-81.711,26.27,10,27,50.0301040012828,31.2107952184917,18.8193087827911,TRUE,13.935130645874,23.7034869197081,1.6230313907486e-08,7.90359180168604
"57","120230002-01","Lake City",-82.619167,30.178056,10,46,50.2816358825713,39.8357822054995,10.4458536770718,TRUE,7.7269674660789,13.1647398880646,1.46299596957628e-10,7.68079799655732
"58","120310077-01","Jacksonville",-81.587339,30.477725,10,24,56.4957391390126,40.5992758499373,15.8964632890753,TRUE,11.109188329735,20.6837382484156,2.30602111978479e-07,6.80583884806941
"59","120310100-01","Jacksonville",-81.454,30.261,10,35,56.7978202665897,41.336144430479,15.4616758361107,TRUE,10.546435204494,20.3769164677274,1.80431125921444e-07,6.36877235234773
"60","120330004-01","Ferry Pass",-87.20355,30.525367,10,38,62.2802227265573,44.9805732253549,17.2996495012025,TRUE,13.3710444853932,21.2282545170117,2.83339109555332e-11,8.88103992576391
