"","stationPlotted","cityName","lon","lat","daysThreshold","nSmoky","smokeOzoneMeans","clearOzoneMeans","differenceOfMeans","signif","confInt_lower","confInt_upper","pValue","tValue"
"1","010730023-01","Birmingham",-86.815,33.553056,10,25,62.4708184241019,58.5920634519195,3.87875497218242,FALSE,-1.90359099070171,9.66110093506655,0.182474270400947,1.3580564698387
"2","010731005-01","Not in a city",-87.003611,33.331111,10,42,63.5309086283845,54.6396029332591,8.89130569512535,TRUE,4.67546335693356,13.1071480333171,5.59449272796671e-05,4.17458467693371
"3","010731009-01","Not in a city",-87.305556,33.459722,10,28,61.9551692808253,56.9903682693684,4.96480101145689,FALSE,-0.30402619747813,10.2336282203919,0.0643216120533878,1.8824600927586
"4","010731010-01","Leeds",-86.549167,33.545278,10,37,57.9789056663017,56.2288093537792,1.75009631252249,FALSE,-3.2120390690022,6.71223169404718,0.48490113672725,0.701626789634942
"5","010732006-01","Hoover",-86.816667,33.386389,10,35,64.1288781814226,60.3748704302943,3.75400775112829,FALSE,-1.6370907475932,9.14510624984978,0.169853291483339,1.38430717758247
"6","010735002-01","Pinson",-86.669167,33.704722,10,27,58.9233210528003,57.1288994546379,1.79442159816234,FALSE,-3.44527824874135,7.03412144506602,0.492043931433521,0.693978656824699
"7","010735003-01","Not in a city",-86.9425,33.801667,10,33,61.6296661465759,56.0597120200541,5.56995412652179,TRUE,1.25743741769305,9.88247083535052,0.0120950789062963,2.57515525302159
"8","020900034-01","Fairbanks",-147.727413,64.84569,10,11,32.4628836636634,32.6485460220125,-0.185662358349084,FALSE,-6.36396064924105,5.99263593254288,0.95008347215304,-0.0635640412614121
"9","051130003-01","Mena",-94.143316,34.454406,10,19,57.6983540325166,55.0015154883708,2.69683854414583,FALSE,-4.05346524184312,9.44714233013478,0.414652630861635,0.832896704799205
"10","051190007-01","North Little Rock",-92.281296,34.756189,10,40,58.874489573409,53.9799354175017,4.89455415590733,TRUE,0.641175372617779,9.14793293919688,0.0245950579602978,2.28633392567483
"11","060010007-01","Livermore",-121.784217,37.687526,10,31,57.9623993328231,61.9947456851359,-4.03234635231277,FALSE,-10.9155623892777,2.85086968465211,0.242339365829865,-1.18925692789091
"12","060012004-01","Berkeley",-122.30129,37.877794,10,20,26.0477191075272,24.8597017305831,1.18801737694413,FALSE,-2.71401226045145,5.09004701433971,0.539191337876143,0.620907116201593
"13","060070008-01","Chico",-121.84162,39.761538,10,20,56.2856598786176,54.9842289793265,1.30143089929118,FALSE,-2.73314880665471,5.33601060523706,0.513544260352961,0.662141197801381
"14","060111002-01","Colusa",-122.017728,39.202935,10,46,57.5391020302729,51.4997465068152,6.03935552345764,TRUE,2.88481613747921,9.19389490943606,0.000302696179273569,3.8262543830078
"15","060195001-01","Clovis",-119.717356,36.819111,10,17,94.2061483257282,82.2437216221916,11.9624267035365,TRUE,3.35943721485821,20.5654161922149,0.00918670802853692,2.92682616548975
"16","060210003-01","Not in a city",-122.191903,39.533761,10,43,55.3026830631845,52.8638072451194,2.43887581806503,FALSE,-0.655689094923271,5.53344073105333,0.120609044781457,1.57020817549262
"17","060290014-01","Bakersfield",-119.041209,35.356092,10,31,77.1081719576963,74.8117959517047,2.29637600599159,FALSE,-4.44456207351508,9.03731408549826,0.493086207253277,0.69313143423796
"18","060310004-01","Corcoran",-119.566954,36.10218,10,11,95.2366060350805,76.0780531220006,19.1585529130799,TRUE,11.1130445431508,27.2040612830091,0.000143406183679018,5.08503468767166
"19","060370016-01","Glendora",-117.85036,34.14435,10,19,70.8722126394039,77.7255534616209,-6.85334082221704,FALSE,-16.916460077015,3.20977843258096,0.170751693564816,-1.42128438229243
"20","060376012-01","Santa Clarita",-118.5284,34.38344,10,15,76.9661862740907,79.531069313502,-2.56488303941127,FALSE,-13.1603491732283,8.03058309440572,0.613857454796398,-0.51507900287034
"21","060430003-01","Not in a city",-119.7062,37.71325,10,21,70.2386265958894,66.6077097239839,3.63091687190553,FALSE,-1.46871758384234,8.73055132765339,0.154003626242849,1.47614117289554
"22","060550003-01","Napa",-122.296189,38.310942,10,34,39.3012711508757,45.8498755758935,-6.54860442501776,TRUE,-9.89190596900757,-3.20530288102796,0.000241367172277266,-3.92422568672739
"23","060590007-01","Anaheim",-117.93845,33.83062,10,13,52.0164664410256,51.7104940496263,0.305972391399244,FALSE,-6.45698653364801,7.0689313164465,0.92365994014157,0.0976918983443097
"24","060610006-01","Roseville",-121.266312,38.745726,10,39,72.8366991642046,71.0327510430805,1.80394812112411,FALSE,-4.59586562516026,8.20376186740847,0.573739345357024,0.566316955055176
"25","060650012-01","Banning",-116.85841,33.92086,10,11,83.4681084552778,77.5665734742674,5.90153498101039,FALSE,-5.70664365690025,17.509713618921,0.285871025064067,1.12369568543893
"26","060659001-01","Lake Elsinore",-117.33098,33.67649,10,15,73.2734901114343,71.9811332821233,1.292356829311,FALSE,-5.66226960867097,8.24698326729298,0.698330592578578,0.394821449640236
"27","060670006-01","Arden-Arcade",-121.368014,38.613779,10,17,67.7332778843698,68.200699515386,-0.467421631016165,FALSE,-7.85209046432114,6.91724720228881,0.896069366679883,-0.132365230741962
"28","060670010-01","Sacramento",-121.492981,38.558228,10,42,64.0788527625074,61.1062129391949,2.97263982331249,FALSE,-1.88421277126144,7.82949241788643,0.225240692345204,1.22639359698081
"29","060690003-01","Not in a city",-121.15688,36.48324,10,12,63.7158496906365,61.5120230117538,2.20382667888268,FALSE,-5.85600028770883,10.2636536454742,0.561946189013279,0.596710771336649
"30","060710005-01","Crestline",-117.27235,34.2431,10,10,91.6256463937199,89.7777080861879,1.84793830753202,FALSE,-5.97185565135087,9.66773226641491,0.612139887108622,0.522349488193311
"31","060719002-01","Not in a city",-116.38893,34.06957,10,10,77.8582690240544,75.9778417991567,1.88042722489774,FALSE,-6.2425710001851,10.0034254499806,0.615989086467033,0.518157751928908
"32","060750005-01","San Francisco",-122.399044,37.765946,10,24,30.5600279853292,27.3320123222679,3.22801566306132,FALSE,-0.523602267148437,6.97963359327108,0.0891090264289281,1.75639909175081
"33","060773005-01","Tracy",-121.443324,37.682512,10,44,68.8067139926651,67.2737163881447,1.53299760452042,FALSE,-3.20752012514559,6.27351533418643,0.519875224368168,0.647546662188423
"34","060811001-01","Redwood City",-122.20337,37.482934,10,26,34.0971408630874,34.6890184753369,-0.591877612249505,FALSE,-4.02308345035216,2.83932822585315,0.729952865704068,-0.347317947893051
"35","060850005-01","San Jose",-121.894898,37.348497,10,36,44.0299594486053,46.9881053249196,-2.95814587631434,FALSE,-6.86007848303653,0.943786730407851,0.13458694172954,-1.51723393092974
"36","060893003-01","Not in a city",-121.57646,40.53999,10,16,63.278013598404,54.9161979158805,8.36181568252351,FALSE,-0.479746355930867,17.2033777209779,0.0621374923525177,2.01159486335784
"37","060950004-01","Vallejo",-122.237976,38.102507,10,26,38.366176521085,42.7726352567541,-4.4064587356691,FALSE,-9.59581203084883,0.782894559510639,0.0933911902574634,-1.72814891046851
"38","060950006-01","Benicia",-122.1507,38.0656,10,16,50.5887721600035,49.5506457007026,1.03812645930086,FALSE,-6.32335115319901,8.39960407180072,0.775670471850228,0.287421711168466
"39","060990006-01","Not in a city",-120.837005,37.487981,10,16,92.6816284528176,76.6391940983717,16.0424343544459,TRUE,5.05647374734915,27.0283949615427,0.00688110471736987,3.09013881110412
"40","061010003-01","Yuba City",-121.618549,39.138773,10,38,55.2873769956364,56.6481110917935,-1.36073409615704,FALSE,-6.23420060250119,3.51273241018711,0.577354502062353,-0.56096346259542
"41","061072002-01","Visalia",-119.291228,36.332179,10,43,80.868974177344,75.1209629075804,5.74801126976355,FALSE,-0.163828932116525,11.6598514716436,0.0564176595620148,1.95729426565612
"42","061072010-01","Porterville",-119.055018,36.031831,10,10,65.0902278556232,73.0684764555381,-7.97824859991493,TRUE,-12.1341350801902,-3.82236211963965,0.00102188598429224,-4.11019143975746
"43","061130004-01","Not in a city",-121.7734,38.53445,10,46,56.9236215316591,56.7399883711684,0.183633160490693,FALSE,-5.53272236863665,5.89998868961804,0.948878705586373,0.0644158646327942
"44","080671004-01","Not in a city",-107.484167,37.30389,10,18,61.4605274671799,58.1047326125273,3.35579485465259,TRUE,0.513588949918642,6.19800075938655,0.0223282703031969,2.41817803461909
"45","080690007-01","Not in a city",-105.54564,40.27813,10,21,61.8106980622929,62.9380777480192,-1.12737968572628,FALSE,-5.53383306896711,3.27907369751455,0.60255544388792,-0.527578988570422
"46","080830101-01","Not in a city",-108.49046,37.1984,10,14,60.0723667583036,56.3063657367059,3.76600102159769,FALSE,-0.183134309451592,7.71513635264697,0.0604493128725645,1.99905423015742
"47","090011123-01","Danbury",-73.443056,41.399167,10,24,66.2046790937399,64.3949885351504,1.80969055858951,FALSE,-4.79349823723875,8.41287935441777,0.58512511292432,0.549119990947312
"48","090031003-01","East Hartford",-72.631667,41.784722,10,21,64.591821481953,61.5145592942978,3.07726218765518,FALSE,-3.38311916863938,9.53764354394974,0.342497333725262,0.959372382946674
"49","090050005-01","Cornwall",-73.297257,41.821342,10,13,65.840999499483,61.0563267501387,4.78467274934438,FALSE,-3.3746148774057,12.9439603760945,0.237200966906098,1.21416947662671
