"","stationPlotted","cityName","lon","lat","daysThreshold","nSmoky","smokeOzoneMeans","clearOzoneMeans","differenceOfMeans","signif","confInt_lower","confInt_upper","pValue","tValue"
"1","010730023-01","Birmingham",-86.815,33.553056,10,25,62.4708184241019,55.1651410429969,7.30567738110495,TRUE,0.594505064355231,14.0168496978547,0.0334658780034279,2.18454739455839
"2","010731005-01","Not in a city",-87.003611,33.331111,10,42,63.5309086283845,52.6829496596309,10.8479589687536,TRUE,6.04275975854819,15.653158178959,2.01146764797615e-05,4.4795437424945
"3","010731009-01","Not in a city",-87.305556,33.459722,10,28,61.9551692808253,55.3289559501127,6.62621333071255,TRUE,0.391050427891322,12.8613762335338,0.0376368331685274,2.12434756656328
"4","010731010-01","Leeds",-86.549167,33.545278,10,37,57.9789056663017,54.3116175409473,3.66728812535437,FALSE,-3.32264424156696,10.6572204922757,0.294578634108972,1.06332369182851
"5","010732006-01","Hoover",-86.816667,33.386389,10,35,64.1288781814226,57.8449673384527,6.28391084296992,FALSE,-0.258812762726511,12.8266344486663,0.0594762854152224,1.91968371209678
"6","010735002-01","Pinson",-86.669167,33.704722,10,27,58.9233210528003,52.3303112729839,6.5930097798164,TRUE,1.0000890286677,12.1859305309651,0.0218690147702429,2.37160873180763
"7","010735003-01","Not in a city",-86.9425,33.801667,10,33,61.6296661465759,51.917793207703,9.71187293887291,TRUE,4.2973335020977,15.1264123756481,0.000673961345282403,3.58862056320151
"8","020900034-01","Fairbanks",-147.727413,64.84569,10,11,32.4628836636634,31.840673349375,0.62221031428842,FALSE,-7.65186350699637,8.89628413557321,0.876761889213366,0.157125485615078
"9","051190007-01","North Little Rock",-92.281296,34.756189,10,40,58.874489573409,55.7088415732003,3.16564800020865,FALSE,-1.28023487407039,7.61153087448769,0.160672701537968,1.41429203431887
"10","060010007-01","Livermore",-121.784217,37.687526,10,31,57.9623993328231,65.3671469703497,-7.40474763752663,TRUE,-14.5426344615641,-0.266860813489122,0.0423869603461344,-2.09507093750919
"11","060012004-01","Berkeley",-122.30129,37.877794,10,20,26.0477191075272,26.1251569985109,-0.0774378909836813,FALSE,-4.05757627074489,3.90270048877753,0.968674079080595,-0.0395670511207074
"12","060070008-01","Chico",-121.84162,39.761538,10,20,56.2856598786176,55.1827717474521,1.10288813116552,FALSE,-3.06233093898815,5.2681072013192,0.592934400464574,0.540227848579786
"13","060195001-01","Clovis",-119.717356,36.819111,10,17,94.2061483257282,83.9492093810457,10.2569389446825,TRUE,1.36878475424687,19.145093135118,0.0257733247410607,2.40121529564483
